oscillation with 500ms/7ms timer interrupts, pwm fills 127 and 170, starting after 1s in pwm 220

millis;pwm fill factor;sensor distance in mm
5040;0.69;111
5052;0.69;110
5064;0.50;105
5076;0.50;103
5090;0.50;103
5102;0.50;99
5114;0.50;98
5127;0.50;96
5139;0.50;96
5151;0.50;93
5163;0.50;92
5174;0.50;88
5186;0.50;88
5197;0.50;84
5210;0.50;85
5221;0.50;85
5233;0.50;85
5244;0.50;86
5257;0.50;84
5268;0.50;83
5279;0.50;85
5292;0.50;84
5303;0.50;85
5315;0.50;88
5326;0.50;84
5339;0.50;87
5350;0.50;85
5362;0.50;86
5373;0.50;91
5385;0.50;92
5397;0.50;92
5408;0.50;93
5421;0.50;93
5432;0.50;96
5444;0.50;96
5455;0.50;98
5468;0.50;99
5480;0.50;101
5492;0.50;103
5506;0.50;102
5518;0.50;107
5530;0.50;107
5542;0.50;108
5555;0.50;114
5567;0.69;116
5580;0.69;117
5593;0.69;120
5605;0.69;122
5617;0.69;124
5629;0.69;126
5642;0.69;130
5654;0.69;132
5667;0.69;136
5680;0.69;139
5692;0.69;136
5704;0.69;139
5716;0.69;140
5729;0.69;141
5742;0.69;143
5754;0.69;143
5767;0.69;145
5779;0.69;141
5791;0.69;142 
5804;0.69;145
5817;0.69;142
5829;0.69;144
5841;0.69;142
5854;0.69;140
5866;0.69;143
5878;0.69;140
5891;0.69;141
5904;0.69;140
5916;0.69;140
5928;0.69;139
5941;0.69;136
5953;0.69;135
5965;0.69;135
5979;0.69;133
5991;0.69;131
6003;0.69;131
6016;0.69;126
6028;0.69;127
6040;0.69;125
6052;0.69;120
6066;0.50;121
6078;0.50;114
6090;0.50;114
6103;0.50;114
6115;0.50;111
6127;0.50;110
6140;0.50;108
6153;0.50;111
6165;0.50;107
6177;0.50;105
6190;0.50;104
6202;0.50;103
6214;0.50;102
6227;0.50;100
6240;0.50;101
6252;0.50;99
6264;0.50;100
6277;0.50;100
6289;0.50;101
6302;0.50;97
6315;0.50;101
6327;0.50;99
6339;0.50;101
6351;0.50;102
6364;0.50;100
6376;0.50;105
6389;0.50;104
6402;0.50;104
6414;0.50;106
6426;0.50;107
6438;0.50;110 
6451;0.50;113
6464;0.50;112
6476;0.50;117
6489;0.50;116
6501;0.50;120
6513;0.50;124
6525;0.50;125
6538;0.50;129
6551;0.50;132
6563;0.69;134
6576;0.69;136
6588;0.69;138
6600;0.69;145
6612;0.69;146
6626;0.69;146
6638;0.69;148
6650;0.69;151
6663;0.69;158
6676;0.69;155
6688;0.69;153
6702;0.69;162
6715;0.69;160
6728;0.69;161
6740;0.69;162
6754;0.69;165
6767;0.69;163
6780;0.69;166
6794;0.69;164
6806;0.69;164
6819;0.69;167
6833;0.69;164
6846;0.69;163
6859;0.69;161
6873;0.69;163 
6885;0.69;160
6898;0.69;161
6912;0.69;158
6925;0.69;157
6937;0.69;157
6950;0.69;155
6964;0.69;151
6976;0.69;155
6988;0.69;153
7001;0.69;153
7013;0.69;150
7025;0.69;149
7037;0.69;144
7051;0.69;145
7063;0.50;142
7075;0.50;142
7088;0.50;139
7100;0.50;137
7112;0.50;137
7126;0.50;133
7138;0.50;132
7150;0.50;129
7162;0.50;129
7175;0.50;126
7187;0.50;125
7200;0.50;124
7213;0.50;121
7225;0.50;125
7237;0.50;121
7249;0.50;124 
7262;0.50;124
7274;0.50;122
7287;0.50;124
7300;0.50;123
7312;0.50;124
7324;0.50;125
7336;0.50;128
7349;0.50;129
7362;0.50;130
7374;0.50;129
7387;0.50;133
7401;0.50;138
7413;0.50;136 
7426;0.50;140
7439;0.50;142
7451;0.50;142
7463;0.50;146
7476;0.50;147
7488;0.50;150
7500;0.50;151
7514;0.50;153
7526;0.50;157
7538;0.50;160
7550;0.50;159
7563;0.69;163
7576;0.69;167
7588;0.69;168
7602;0.69;173
7614;0.69;175
7627;0.69;178
7641;0.69;179
7654;0.69;183
7666;0.69;181
7680;0.69;185
7693;0.69;189
7706;0.69;186
7719;0.69;188
7732;0.69;188
7745;0.69;186
7758;0.69;189
7772;0.69;194
7785;0.69;190
7798;0.69;189 
7811;0.69;187
7824;0.69;192
7837;0.69;191
7851;0.69;187
7864;0.69;184
7876;0.69;183
7889;0.69;186
7903;0.69;182
7916;0.69;182
7929;0.69;181
7943;0.69;178
7955;0.69;177
7968;0.69;176
7982;0.69;173
7995;0.69;169
8008;0.69;167
8020;0.69;168
8034;0.69;165
8046;0.69;161
8058;0.50;160
8071;0.50;158
8083;0.50;154
8095;0.50;154
8109;0.50;150
8121;0.50;150
8133;0.50;143
8145;0.50;143
8158;0.50;141
8170;0.50;142
8183;0.50;137
8196;0.50;139
8208;0.50;137
8220;0.50;135
8232;0.50;133 
8245;0.50;137
8258;0.50;135
8270;0.50;134
8283;0.50;131
8295;0.50;133
8307;0.50;135
8320;0.50;134
8332;0.50;135
8345;0.50;135
8357;0.50;139
8370;0.50;137
8382;0.50;140
8394;0.50;142
8407;0.50;142
8420;0.50;145
8432;0.50;144
8444;0.50;146
8457;0.50;147
8469;0.50;149
8481;0.50;155
8494;0.50;158
8507;0.50;155
8519;0.50;161
8531;0.50;166
8544;0.50;164
8557;0.50;165
8570;0.69;171
8583;0.69;173
8596;0.69;175
8608;0.69;177 
8622;0.69;180
8635;0.69;183
8648;0.69;184
8662;0.69;183
8675;0.69;190
8687;0.69;188
8700;0.69;191
8714;0.69;192
8727;0.69;194
8740;0.69;255
8754;0.69;255
8766;0.69;255
8779;0.69;193
8793;0.69;255
8806;0.69;255
8819;0.69;255
8832;0.69;255
8845;0.69;255
8858;0.69;194
8871;0.69;255
8885;0.69;194
8898;0.69;194
8910;0.69;194
8924;0.69;192
8937;0.69;190
8950;0.69;189
8964;0.69;188
8977;0.69;185
8989;0.69;187
9003;0.69;181
9016;0.69;181
9029;0.69;177
9042;0.69;179
9055;0.69;175
9068;0.50;171
9081;0.50;171
9095;0.50;167
9108;0.50;169
