millis;pwm fill factor;sensor distance in mm
5413;0.70;23
5424;0.70;23
5435;0.70;24
5446;0.70;23
5457;0.70;24
5469;0.70;22
5479;0.70;22
5490;0.70;23
5501;0.70;22
5513;0.70;22
5524;0.70;22
5534;0.70;24
5545;0.70;24
5557;0.70;23
5568;0.70;21
5578;0.70;23
5590;0.70;23
5601;0.70;23
5612;0.70;24
5623;0.70;23
5634;0.70;22
5645;0.70;22
5656;0.70;22
5667;0.70;23
5679;0.70;22
5689;0.70;21
5700;0.70;21
5711;0.70;20
5723;0.70;21
5734;0.70;22
5744;0.70;22
5755;0.70;23
5767;0.70;22
5778;0.70;22
5788;0.70;23
5799;0.70;24
5811;0.70;22
5822;0.70;23 
5833;0.70;23
5843;0.70;23
5855;0.70;21
5866;0.70;22
5877;0.70;20
5889;0.70;23
5899;0.70;24
5910;0.70;23
5921;0.70;21
5933;0.70;23
5944;0.70;21
5954;0.70;20
5965;0.70;23
5977;0.70;23
5988;0.70;22
5998;0.70;21
6009;0.70;26
6021;0.70;24
6032;0.70;23
6043;0.70;21
6053;0.70;21
6065;0.70;23
6076;0.70;20
6087;0.70;23
6098;0.70;24
6109;0.70;24
6120;0.70;22
6131;0.70;23
6142;0.70;23
6154;0.70;24
6164;0.70;21
6175;0.70;21
6187;0.70;23
6198;0.70;21
6209;0.70;23
6219;0.70;22
6231;0.70;23
6242;0.70;22
6253;0.70;21
6263;0.70;22
6275;0.70;21
6286;0.70;23
6297;0.70;21 
6308;0.70;22
6319;0.70;24
6330;0.70;25
6341;0.70;24
6352;0.70;23
6364;0.70;24
6374;0.70;22
6385;0.70;22
6396;0.70;24
6408;0.70;22
6419;0.70;23
6429;0.70;22
6440;0.70;21
6452;0.70;22
6463;0.70;24
6474;0.70;21
6484;0.70;24
6496;0.70;22
6507;0.70;24
6518;0.70;24
6529;0.70;22
6540;0.70;22
6551;0.70;23
6562;0.70;21
6574;0.70;21
6584;0.70;22
6595;0.70;20
6606;0.70;22
6618;0.70;23
6631;0.70;21
6641;0.70;22
6652;0.70;22
6664;0.70;22
6675;0.70;22
6685;0.70;24
6696;0.70;24
6708;0.70;23
6719;0.70;22 
6730;0.70;21
6740;0.70;21
6752;0.70;22
6763;0.70;22
6774;0.70;22
6786;0.70;22
6796;0.70;21
6807;0.70;22
6818;0.70;20
6830;0.70;24
6841;0.70;23
6851;0.70;23
6862;0.70;22
6874;0.70;21
6885;0.70;23
6895;0.70;22
6906;0.70;22
6918;0.70;22
6929;0.70;22
6940;0.70;22
6950;0.70;21
6962;0.70;20
6973;0.70;22
6984;0.70;22
6995;0.70;23
7006;0.70;23
7017;0.70;23
7028;0.70;24
7040;0.70;23
7051;0.70;23
7061;0.70;22
7072;0.70;22
7084;0.70;21
7095;0.70;22
7106;0.70;23
7116;0.70;21
7128;0.70;22
7139;0.70;22
7150;0.70;22
7160;0.70;24
7172;0.70;23
7183;0.70;23
7194;0.70;24 
7205;0.70;23
7216;0.70;23
7227;0.70;21
7238;0.70;23
7249;0.70;23
7261;0.70;23
7271;0.70;21
7282;0.70;21
7293;0.70;20
7305;0.70;21
7316;0.70;22
7326;0.70;23
7337;0.70;23
7349;0.70;21
7360;0.70;22
7370;0.70;23
7382;0.70;22
7393;0.70;23
7404;0.70;23
7415;0.70;23
7426;0.70;23
7437;0.70;22
7448;0.70;21
7459;0.70;22
7471;0.70;23
7481;0.70;22
7492;0.70;23
7503;0.70;24
7515;0.70;23
7526;0.70;23
7536;0.70;23
7547;0.70;22
7559;0.70;22 
7570;0.70;22
7580;0.70;24
7591;0.70;22
7603;0.70;21
7614;0.70;20
7625;0.70;22
7635;0.70;21
7647;0.70;22
7658;0.70;23
7669;0.70;23
7681;0.70;19
7691;0.70;23
7702;0.70;24
7713;0.70;24
7725;0.70;22
7736;0.70;23
