millis;pwm fill factor;sensor distance in mm
6784;0;35
6795;0;39
6805;0;39
6816;0;43
6827;0;45
6838;0;51
6849;0;54
6859;0;57
6871;0;63
6883;0;68
6894;0;76
6905;0;84
6917;0;92
6929;0;102
6940;0;107
6952;0;117
6965;0;128
6977;0;142
6989;0;153
7002;0;166
7014;0;180
7027;0;194
7040;0;255
7053;0;255
7066;0;255
7078;0;255
7092;0;255
7105;0;255
7117;0;255
7131;0;255
7143;0;255
7156;0;255
7170;0;255
7182;0;255
7195;0;255 
7208;0;255
7221;0;255
7234;0;255
7248;0;255
7262;0;255
7275;0;255
7289;0;255
7303;0;255
7316;1;255
7329;1;255
7344;1;255
7357;1;255
7370;1;255 
7385;1;255
7397;1;255
7410;1;255
7425;1;255
7437;1;255
7450;1;255
7463;1;255
7477;1;255
7490;1;255
7502;1;255
7516;1;255
7528;1;255
7541;1;255
7555;1;255
7570;1;255
7583;1;255
7596;1;255
7609;1;255
7621;1;255
7634;1;255
7648;1;255
7660;1;255
7673;1;255
7686;1;255
7699;1;255
7712;1;255
7725;1;255
7738;1;255
7751;1;255
7763;1;255
7777;1;255
7789;1;255
7802;1;255
7816;1;255
7828;1;255
7841;1;255
7854;1;188
7867;1;185
7880;1;176
7892;1;169
7906;1;159
7919;1;150
7930;1;144
7943;1;134
7955;1;123
7967;1;114
7980;1;104
7992;1;97
8004;1;89
8015;0;80 
8028;0;70
8039;0;63
8050;0;55
8061;0;49
8072;0;39
8083;0;32
8093;0;25
8104;0;24
8116;0;24
8126;0;28
8137;0;30
8147;0;30
8159;0;32
8169;0;35
8180;0;37 
8192;0;38
8202;0;40
8213;0;43
8223;0;47
8235;0;50
8246;0;56
8256;0;57
8267;0;60
8279;0;65
8290;0;72
8301;0;80
8313;0;88
8325;0;97
8336;0;105
8347;0;112
8359;0;123
8372;0;134
8384;0;152
8396;0;161
8410;0;175
8422;0;188
8435;0;255
8449;0;255
8461;0;255
8474;0;255
8487;0;255
8500;0;255
8513;0;255
8525;0;255
8540;0;255
8552;0;255
8565;0;255
8579;0;255
8592;0;255
8604;0;255
8619;0;255
8632;0;255
8645;0;255
8658;0;255
8672;0;255
8685;0;255
8699;0;255
8712;1;255
8726;1;255
8739;1;255 
8753;1;255
8765;1;255
8778;1;255
8791;1;255
8805;1;255
8817;1;255
8832;1;255
8844;1;255
8857;1;255
8869;1;255
8883;1;255
8896;1;255
8908;1;255
8923;1;255
8935;1;255
8948;1;255
8961;1;255
8974;1;255
8987;1;255
8999;1;255
9013;1;255
9026;1;255
9038;1;255
9052;1;255
9064;1;255
9077;1;255
9091;1;255
9103;1;255
9116;1;255 
9129;1;255
9142;1;255
9155;1;255
9167;1;255
9181;1;255
9194;1;255
9206;1;255
9220;1;255
9232;1;185
9245;1;179
9259;1;170
9271;1;162
9284;1;153
9296;1;144
9309;1;135
9321;1;122
9333;1;113
9346;1;101
9358;1;92
9369;1;83
9380;1;71
9392;1;63 
9404;1;56
9414;0;44
9425;0;31
9436;0;20
9447;0;20
9458;0;24
9468;0;24
9480;0;22
9490;0;23
9501;0;24
9511;0;25
9523;0;22
9534;0;25
9544;0;25
9555;0;26
9566;0;28
9577;0;29
9587;0;34
9598;0;37
9610;0;39
9620;0;44
9631;0;46
9641;0;51
9653;0;54
9663;0;58
9674;0;64
9686;0;69
9698;0;77
9709;0;85
9720;0;92
9732;0;102 
9744;0;111
9756;0;120
9767;0;133
9780;0;145
9792;0;156
9804;0;170
9818;0;184
9831;0;255
9843;0;255
9857;0;255
9869;0;255
9882;0;255
9895;0;255
9908;0;255
9921;0;255
9934;0;255
9948;0;255
9960;0;255
9973;0;255
9987;0;255
9999;0;255
10012;0;255
10025;0;255
10040;0;255
10053;0;255
10066;0;255
10081;0;255
10094;0;255
10107;0;255
10122;1;255
10134;1;255
10148;1;255
10162;1;255
10175;1;255
10187;1;255
10201;1;255
10214;1;255
10226;1;255
10240;1;255
10253;1;255
10266;1;255
10279;1;255
10292;1;255
10306;1;255
10319;1;255
10333;1;255
10345;1;255
10358;1;255
10372;1;255
10384;1;255
10397;1;255
10411;1;255
10423;1;255
10436;1;255
10449;1;255
10462;1;255
10475;1;255
10488;1;255
10501;1;255
10514;1;255
10527;1;255
10540;1;255
10553;1;255
10566;1;255
10578;1;255
10592;1;255
10605;1;255
10617;1;255
10631;1;255
10644;1;188
10656;1;178
10670;1;171
10683;1;164
10695;1;155
10707;1;148
10720;1;136
10732;1;125
10746;1;115
10759;1;110
10771;1;104
10783;1;91
10796;1;82
10807;1;71
10818;0;64
10829;0;54 
10842;0;47
10852;0;37
10863;0;27
10874;0;20
10885;0;23
10896;0;25
10906;0;27
10917;0;27
10929;0;26
10939;0;29
10950;0;28
10960;0;29
10972;0;31
10983;0;33
10993;0;34
11004;0;34
11016;0;41
11026;0;41
11037;0;46
11047;0;50
11059;0;52
11070;0;58
11081;0;65
11092;0;71
11105;0;78
11116;0;86
11127;0;94
11139;0;103
11151;0;110
11163;0;123
11175;0;138
11188;0;146
11200;0;163
11213;0;173
11227;0;189
11239;0;255
11252;0;255
11266;0;255
11278;0;255
11291;0;255
11304;0;255
11317;0;255
11330;0;255
11343;0;255
11356;0;255
11369;0;255
11382;0;255
11395;0;255
11408;0;255
11421;0;255
11436;0;255
11449;0;255
11462;0;255
11475;0;255
11489;0;255
11502;0;255
11515;1;255
11529;1;255
11542;1;255
11556;1;255
11570;1;255
11583;1;255
11596;1;255
11610;1;255
11622;1;255
11635;1;255
11649;1;255
11663;1;255
11676;1;255
11689;1;255
11702;1;255
11715;1;255
11728;1;255
11741;1;255
11754;1;255
11767;1;255
11780;1;255
11793;1;255
11806;1;255
11819;1;255
11832;1;255
11845;1;255
11857;1;255
11871;1;255
11884;1;255
11896;1;255
11910;1;255
11923;1;255
11935;1;255
11949;1;255
11962;1;255
11974;1;255
11987;1;255
12001;1;255
12013;1;255
12026;1;255
12040;1;184
12052;1;183
12065;1;170
12079;1;166
12091;1;157
12103;1;150
12115;1;138
12128;1;128
12140;1;120
12152;1;111
12165;1;103
12177;1;95
12189;1;85
12201;1;77
12213;0;66
12224;0;57
12236;0;53
12247;0;44
12258;0;33
12268;0;25
12279;0;22
12291;0;24
12301;0;28
12312;0;29
12323;0;30
12334;0;34
12345;0;32
12355;0;34
12366;0;35
12378;0;37
12388;0;39
12399;0;42
12409;0;46
12421;0;51
12432;0;52
12442;0;55
12453;0;59
12465;0;64
12476;0;67
12488;0;74
12499;0;84
12511;0;93
12523;0;98
12534;0;106
12547;0;114
12559;0;126
12571;0;138
12583;0;152
12596;0;160
12608;0;177
12621;0;191
12634;0;255
12647;0;255 
12660;0;255
12673;0;255
12686;0;255
12699;0;255
12711;0;255
12725;0;255
12738;0;255
12751;0;255
12765;0;255
12777;0;255
12790;0;255 
12804;0;255
12817;0;255
12830;0;255
12844;0;255
12857;0;255
12871;0;255
12883;0;255
12897;0;255 
12910;0;255
12922;1;255
12936;1;255
12949;1;255
12962;1;255
12976;1;255
12989;1;255
13002;1;255
13016;1;255 
13029;1;255
13041;1;255
13054;1;255
13068;1;255
13080;1;255
13093;1;255 
13107;1;255
13119;1;255
13132;1;255
13146;1;255
13158;1;255
13171;1;255 
13185;1;255
13197;1;255
13210;1;255
13223;1;255
13236;1;255
13249;1;255 
13262;1;255
13275;1;255
13288;1;255
13301;1;255
13314;1;255
13327;1;255 
13340;1;255
13352;1;255
13366;1;255
13379;1;255
13391;1;255
13405;1;255 
13418;1;255
13430;1;255
13444;1;187
13457;1;181
13469;1;175
13483;1;165
13495;1;155
13507;1;148
13519;1;141
13532;1;133
13544;1;120
13556;1;112
13569;1;103
13581;1;95
13593;1;86
13604;1;75
13616;0;69
13628;0;58
13639;0;52
13650;0;43
13661;0;36
13672;0;25
13682;0;22
13693;0;24 
13705;0;25
13715;0;29
13726;0;28
13737;0;30
13748;0;31
13759;0;33
13769;0;34
13780;0;37
13792;0;38
13802;0;38
13813;0;43
13824;0;45
13835;0;48
13846;0;52
13856;0;55
13868;0;63
13881;0;65
13893;0;73
13904;0;82
13916;0;89
13927;0;97
13939;0;105
13952;0;114
13964;0;120
13976;0;138
13988;0;145
14001;0;157
14013;0;173
14026;0;187
14040;0;255
14052;0;255
14065;0;255
14078;0;255
14091;0;255
14104;0;255
14117;0;255
14130;0;255
14143;0;255
14156;0;255
14169;0;255
14182;0;255
14195;0;255
14210;0;255
14223;0;255
14236;0;255
14251;0;255
14264;0;255
14277;0;255
14291;0;255
14305;0;255
14318;1;255
14332;1;255
14345;1;255
14359;1;255
14372;1;255
14386;1;255
14400;1;255
14413;1;255
14427;1;255
14441;1;255
14454;1;255
14468;1;255
14481;1;255
14494;1;255
14508;1;255
14521;1;255
14533;1;255
14546;1;255
14560;1;255
14572;1;255
14585;1;255
14599;1;255
14611;1;255
14624;1;255
14638;1;255
14650;1;255
14663;1;255
14676;1;255
14689;1;255
14702;1;255
14715;1;255
14728;1;255
14741;1;255
14754;1;255
14767;1;255
14780;1;255
14793;1;255
14806;1;255
14819;1;255
14832;1;189
14844;1;180
14858;1;170
14871;1;160
14883;1;153
14896;1;143
14908;1;134
14920;1;125
14932;1;113
14945;1;105
14957;1;96
