181.00	34.00
181.00	36.00
181.00	38.00
181.00	38.00
181.00	40.00
181.00	38.00
181.00	38.00
181.00	38.00
181.00	38.00
181.00	36.00
181.00	36.00
181.00	34.00
181.00	34.00
181.00	34.00
181.00	28.00
181.00	28.00
181.00	28.00
181.00	28.00
181.00	30.00
181.00	26.00
181.00	24.00
181.00	26.00
181.00	26.00
181.00	26.00
181.00	28.00
181.00	28.00
181.00	26.00
181.00	24.00
181.00	26.00
181.00	26.00
181.00	28.00
181.00	30.00
181.00	30.00
181.00	28.00
181.00	32.00
181.00	32.00
181.00	30.00
181.00	32.00
181.00	30.00
181.00	30.00
181.00	26.00
181.00	28.00
181.00	24.00
181.00	24.00
181.00	22.00
181.00	22.00
181.00	22.00
181.00	24.00
181.00	26.00
181.00	26.00
181.00	26.00
181.00	28.00
181.00	26.00
181.00	26.00
181.00	30.00
181.00	30.00
181.00	30.00
181.00	30.00
181.00	32.00
181.00	32.00
181.00	32.00
181.00	32.00
181.00	30.00
181.00	30.00
181.00	26.00
181.00	26.00
181.00	26.00
157.00	26.00
157.00	20.00
157.00	20.00
157.00	22.00
157.00	20.00
157.00	22.00
157.00	24.00
157.00	26.00
157.00	26.00
157.00	30.00
157.00	36.00
157.00	36.00
157.00	40.00
157.00	44.00
157.00	44.00
157.00	48.00
157.00	48.00 
157.00	54.00
157.00	54.00
157.00	56.00
157.00	62.00
157.00	62.00
157.00	62.00
157.00	62.00
157.00	68.00
157.00	68.00
157.00	74.00
157.00	76.00
157.00	80.00
157.00	80.00
157.00	82.00 
157.00	86.00
157.00	86.00
157.00	88.00
157.00	92.00
157.00	92.00
157.00	96.00
157.00	100.00
157.00	102.00
157.00	102.00
157.00	100.00
157.00	102.00
157.00	104.00
157.00	104.00
157.00	108.00
157.00	108.00
157.00	112.00
157.00	112.00
157.00	112.00
157.00	112.00
157.00	118.00
157.00	118.00
157.00	120.00
157.00	120.00
157.00	122.00
157.00	128.00
157.00	128.00
157.00	132.00
157.00	134.00
157.00	136.00
157.00	138.00
157.00	138.00
157.00	146.00
