9853;255
9868;255
9881;255
9894;255
9908;255
9922;255
9935;255
9949;255
9962;255
9975;255
9990;255
10003;255
10016;255
10030;255
10044;255
10057;255
10071;255
10084;255
10098;255
10112;255
10125;255
10138;255
10152;255
10166;255
10179;255
10192;255
10207;255
10220;255
10233;255
10247;255
10261;255
10274;255
10288;255
10301;255
10315;255
10329;255
10342;255
10355;255
10370;255
10383;255
10396;255
10409;255
10424;255
10437;255
10450;255
10464;255
10478;255
10491;255
10505;255
10518;255
10532;255
10546;255
10559;255
10572;255
10587;255
10600;255
10613;255
10627;255
10641;255
10654;255
10668;255
10681;255
10695;255
10708;255
10722;255
10735;255
10749;255
10763;255
10776;255
10789;255
10804;255
10817;255
10830;255
10844;255
10858;255
10871;255
10885;255
10898;255
10912;255
10926;255
10939;255
10952;255
10967;255
10980;255
10993;255
11006;255
11021;255
11034;255
11047;255
11061;255
11075;255
11088;255
11102;255
11115;255
11129;255
11143;255
11156;255
11169;255
11184;255
11197;255
11210;255
11224;255
11238;255
11251;255
11265;255
11278;255
11292;255
11305;255
11319;255
11332;255
11346;255
11360;255
11375;255
11388;255
11403;255
11416;255
11429;255
11443;255
11457;255
11470;255
11484;255
11497;255
11511;255
11525;255
11538;255
11551;255
11566;255
11579;255
11592;255
11606;255
11620;255
11633;255
11646;255
11660;255
11674;255
11687;255
11701;255
11714;255
11728;255
11742;255
11755;255
11768;255
11783;255
11796;255
11809;255
11823;255
11837;255
11850;255
11864;255
11877;255
11891;255
11905;255
11918;255
11931;255
11945;255
11959;255
11972;255
11985;255
12000;255
12013;255
12026;255
12040;255
12054;255
12067;255
12081;255
12094;255
12108;255
