millis;pwm fill factor;sensor distance in mm
4988;0.69;27
5000;0.69;25
5010;0.69;21
5021;0.69;21
5032;0.69;21
5044;0.69;20
5055;0.69;22
5065;0.53;22
5076;0.53;21
5088;0.53;22
5099;0.53;22
5109;0.53;22
5121;0.53;21
5132;0.53;22
5143;0.53;21
5154;0.53;22
5165;0.53;20
5176;0.53;20
5187;0.53;21
5198;0.53;22
5209;0.53;20
5220;0.53;22
5231;0.53;21
5242;0.53;22
5254;0.53;25
5264;0.53;24
5275;0.53;25
5286;0.53;22
5298;0.53;26
5308;0.53;27
5319;0.53;28
5330;0.53;29
5342;0.53;29 
5353;0.53;32
5363;0.53;35
5374;0.53;36
5386;0.53;35
5397;0.53;37
5407;0.53;39
5419;0.53;41
5430;0.53;42
5441;0.53;43
5452;0.53;45
5463;0.53;47
5474;0.53;48
5485;0.53;51
5496;0.53;53
5508;0.53;53
5520;0.53;55
5531;0.53;58
5542;0.53;60
5555;0.53;61
5566;0.69;61
5578;0.69;65
5590;0.69;66
5602;0.69;68
5613;0.69;67
5625;0.69;71
5637;0.69;73
5648;0.69;75
5660;0.69;75
5671;0.69;76
5684;0.69;75
5695;0.69;77
5707;0.69;76
5719;0.69;76
5731;0.69;76
5742;0.69;76
5753;0.69;74
5766;0.69;75
5777;0.69;73
5789;0.69;74
5800;0.69;73
5813;0.69;70
5824;0.69;69 
5836;0.69;67
5848;0.69;64
5859;0.69;67
5871;0.69;62
5882;0.69;59
5895;0.69;59
5906;0.69;53
5918;0.69;54
5929;0.69;50
5941;0.69;48
5952;0.69;46
5962;0.69;45
5974;0.69;43
5985;0.69;37
5996;0.69;37
6007;0.69;34
6018;0.69;32
6029;0.69;27
6040;0.69;26
6051;0.69;24
6062;0.53;21
6073;0.53;21
6084;0.53;23
6095;0.53;23 
6107;0.53;23
6117;0.53;23
6128;0.53;25
6139;0.53;21
6151;0.53;21
6161;0.53;20
6172;0.53;22
6183;0.53;22
6195;0.53;21
6206;0.53;22
6216;0.53;19
6227;0.53;22
6239;0.53;21
6250;0.53;23
6260;0.53;23
6272;0.53;24
6283;0.53;24
6294;0.53;24
6305;0.53;22
6316;0.53;23
6327;0.53;26
6338;0.53;26
6349;0.53;26
6360;0.53;29
6371;0.53;29
6382;0.53;33
6393;0.53;33
6405;0.53;36
6415;0.53;39
6426;0.53;41
6437;0.53;41
6449;0.53;44
6459;0.53;48
6470;0.53;49
6481;0.53;52
6493;0.53;52 
6504;0.53;53
6515;0.53;56
6526;0.53;58
6539;0.53;60
6550;0.53;61
6562;0.69;63
6574;0.69;65
6586;0.69;67
6597;0.69;73
6609;0.69;73
6621;0.69;75
6632;0.69;76
6644;0.69;79
6656;0.69;79
6668;0.69;79
6679;0.69;82
6691;0.69;81
6703;0.69;83
6715;0.69;84
6726;0.69;87
6737;0.69;84
6750;0.69;84
6761;0.69;83
6773;0.69;84
6785;0.69;84
6797;0.69;81
6808;0.69;81
6820;0.69;80
6832;0.69;81
6843;0.69;78
6855;0.69;74
6866;0.69;74
6879;0.69;71
6890;0.69;72
6902;0.69;67
6914;0.69;65 
6926;0.69;66
6937;0.69;61
6948;0.69;60
6961;0.69;60
6972;0.69;56
6984;0.69;55
6995;0.69;51
7008;0.69;50
7018;0.69;48
7029;0.69;45
7041;0.69;40
7052;0.69;40
7063;0.53;36
7073;0.53;33
7085;0.53;30
7096;0.53;26
7107;0.53;25
7117;0.53;23
7129;0.53;21
7140;0.53;21
7151;0.53;23
7162;0.53;24
7173;0.53;25
7184;0.53;25
7195;0.53;25
7206;0.53;26
7217;0.53;27
7228;0.53;24
7239;0.53;28
7250;0.53;29 
7262;0.53;30
7272;0.53;28
7283;0.53;30
7294;0.53;29
7306;0.53;29
7316;0.53;31
7327;0.53;32
7339;0.53;33
7350;0.53;33
7361;0.53;34
7371;0.53;36
7383;0.53;35
7394;0.53;38
7405;0.53;42
7417;0.53;44
7429;0.53;45
7440;0.53;46
7451;0.53;49 
7462;0.53;51
7473;0.53;52
7484;0.53;55
7495;0.53;56
7506;0.53;58
7519;0.53;59
7530;0.53;59
7542;0.53;61
7554;0.53;63
7566;0.69;65
7577;0.69;66
7588;0.69;70
7601;0.69;72
7612;0.69;72
7624;0.69;73
7635;0.69;76
7648;0.69;77
7659;0.69;78 
7671;0.69;79
7683;0.69;81
7694;0.69;80
7706;0.69;79
7717;0.69;83
7730;0.69;83
7741;0.69;84
7753;0.69;83
